epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1619.6,0.6878,0.43808,1.01833,0.92301,0.87978,0.94366,0.73232,0.89463,0.48384,1.14454,0.0002105,0.0002105,0.0002105
86,1638.31,0.67344,0.43328,1.01032,0.92845,0.87405,0.94548,0.72566,0.91294,0.4803,1.14223,0.000198125,0.000198125,0.000198125
87,1657.74,0.67682,0.42773,1.00939,0.93346,0.87329,0.94454,0.72593,0.89352,0.47246,1.14365,0.00018575,0.00018575,0.00018575
88,1676.19,0.68927,0.43023,1.02068,0.92584,0.86683,0.94633,0.72886,0.88383,0.47674,1.15224,0.000173375,0.000173375,0.000173375
89,1695.5,0.66815,0.42066,1.00489,0.90645,0.8879,0.9479,0.7325,0.89917,0.47071,1.14501,0.000161,0.000161,0.000161
90,1714.28,0.65641,0.42253,1.0113,0.91266,0.88887,0.95008,0.72834,0.92044,0.48853,1.15979,0.000148625,0.000148625,0.000148625
91,1735.07,0.63094,0.37334,0.99121,0.91283,0.87678,0.947,0.72556,0.89562,0.48232,1.15718,0.00013625,0.00013625,0.00013625
92,1753.33,0.61452,0.3561,0.9791,0.90876,0.87876,0.94487,0.71863,0.91516,0.50522,1.16199,0.000123875,0.000123875,0.000123875
93,1772.28,0.60823,0.34767,0.97939,0.88833,0.91037,0.94475,0.72761,0.87865,0.49265,1.1457,0.0001115,0.0001115,0.0001115
94,1790.44,0.59616,0.33685,0.96848,0.92173,0.87452,0.94526,0.72482,0.94578,0.4942,1.17898,9.9125e-05,9.9125e-05,9.9125e-05
95,1809.3,0.57146,0.32746,0.95904,0.90037,0.88682,0.9434,0.72775,0.90177,0.4911,1.15682,8.675e-05,8.675e-05,8.675e-05
96,1827.81,0.57659,0.32716,0.96242,0.9047,0.90245,0.94778,0.7287,0.93595,0.4975,1.17506,7.4375e-05,7.4375e-05,7.4375e-05
97,1846.37,0.57502,0.32228,0.96135,0.90337,0.90245,0.94374,0.73483,0.88794,0.47844,1.1501,6.2e-05,6.2e-05,6.2e-05
98,1865.26,0.55775,0.32048,0.95162,0.89882,0.90341,0.94506,0.73439,0.91149,0.47486,1.16223,4.9625e-05,4.9625e-05,4.9625e-05
99,1883.74,0.5643,0.32175,0.94841,0.91015,0.8933,0.9441,0.73254,0.90079,0.48064,1.15511,3.725e-05,3.725e-05,3.725e-05
100,1902.76,0.54837,0.3199,0.94885,0.90559,0.89194,0.94231,0.7312,0.89851,0.47681,1.15403,2.4875e-05,2.4875e-05,2.4875e-05
